対象年月,種別,区名,増減種別,異動内容,性別,値
201310,日本人,全市,社会増減,転入,合計,5727
201310,日本人,東灘区,社会増減,転入,合計,963
201310,日本人,灘区,社会増減,転入,合計,533
201310,日本人,中央区,社会増減,転入,合計,719
201310,日本人,兵庫区,社会増減,転入,合計,477
201310,日本人,北区,社会増減,転入,合計,529
201310,日本人,長田区,社会増減,転入,合計,368
201310,日本人,須磨区,社会増減,転入,合計,735
201310,日本人,垂水区,社会増減,転入,合計,694
201310,日本人,西区,社会増減,転入,合計,709
201310,日本人,全市,社会増減,転入,男,2897
201310,日本人,東灘区,社会増減,転入,男,475
201310,日本人,灘区,社会増減,転入,男,251
201310,日本人,中央区,社会増減,転入,男,378
201310,日本人,兵庫区,社会増減,転入,男,255
201310,日本人,北区,社会増減,転入,男,271
201310,日本人,長田区,社会増減,転入,男,210
201310,日本人,須磨区,社会増減,転入,男,345
201310,日本人,垂水区,社会増減,転入,男,335
201310,日本人,西区,社会増減,転入,男,377
201310,日本人,全市,社会増減,転入,女,2830
201310,日本人,東灘区,社会増減,転入,女,488
201310,日本人,灘区,社会増減,転入,女,282
201310,日本人,中央区,社会増減,転入,女,341
201310,日本人,兵庫区,社会増減,転入,女,222
201310,日本人,北区,社会増減,転入,女,258
201310,日本人,長田区,社会増減,転入,女,158
201310,日本人,須磨区,社会増減,転入,女,390
201310,日本人,垂水区,社会増減,転入,女,359
201310,日本人,西区,社会増減,転入,女,332
201310,日本人,全市,社会増減,転出,合計,5333
201310,日本人,東灘区,社会増減,転出,合計,686
201310,日本人,灘区,社会増減,転出,合計,532
201310,日本人,中央区,社会増減,転出,合計,705
201310,日本人,兵庫区,社会増減,転出,合計,507
201310,日本人,北区,社会増減,転出,合計,618
201310,日本人,長田区,社会増減,転出,合計,364
201310,日本人,須磨区,社会増減,転出,合計,481
201310,日本人,垂水区,社会増減,転出,合計,702
201310,日本人,西区,社会増減,転出,合計,738
201310,日本人,全市,社会増減,転出,男,2677
201310,日本人,東灘区,社会増減,転出,男,369
201310,日本人,灘区,社会増減,転出,男,275
201310,日本人,中央区,社会増減,転出,男,358
201310,日本人,兵庫区,社会増減,転出,男,268
201310,日本人,北区,社会増減,転出,男,298
201310,日本人,長田区,社会増減,転出,男,183
201310,日本人,須磨区,社会増減,転出,男,226
201310,日本人,垂水区,社会増減,転出,男,334
201310,日本人,西区,社会増減,転出,男,366
201310,日本人,全市,社会増減,転出,女,2656
201310,日本人,東灘区,社会増減,転出,女,317
201310,日本人,灘区,社会増減,転出,女,257
201310,日本人,中央区,社会増減,転出,女,347
201310,日本人,兵庫区,社会増減,転出,女,239
201310,日本人,北区,社会増減,転出,女,320
201310,日本人,長田区,社会増減,転出,女,181
201310,日本人,須磨区,社会増減,転出,女,255
201310,日本人,垂水区,社会増減,転出,女,368
201310,日本人,西区,社会増減,転出,女,372
201310,日本人,全市,社会増減,その他の増,合計,53
201310,日本人,東灘区,社会増減,その他の増,合計,6
201310,日本人,灘区,社会増減,その他の増,合計,4
201310,日本人,中央区,社会増減,その他の増,合計,3
201310,日本人,兵庫区,社会増減,その他の増,合計,4
201310,日本人,北区,社会増減,その他の増,合計,3
201310,日本人,長田区,社会増減,その他の増,合計,11
201310,日本人,須磨区,社会増減,その他の増,合計,7
201310,日本人,垂水区,社会増減,その他の増,合計,7
201310,日本人,西区,社会増減,その他の増,合計,8
201310,日本人,全市,社会増減,その他の増,男,36
201310,日本人,東灘区,社会増減,その他の増,男,3
201310,日本人,灘区,社会増減,その他の増,男,3
201310,日本人,中央区,社会増減,その他の増,男,3
201310,日本人,兵庫区,社会増減,その他の増,男,3
201310,日本人,北区,社会増減,その他の増,男,3
201310,日本人,長田区,社会増減,その他の増,男,6
201310,日本人,須磨区,社会増減,その他の増,男,7
201310,日本人,垂水区,社会増減,その他の増,男,4
201310,日本人,西区,社会増減,その他の増,男,4
201310,日本人,全市,社会増減,その他の増,女,17
201310,日本人,東灘区,社会増減,その他の増,女,3
201310,日本人,灘区,社会増減,その他の増,女,1
201310,日本人,中央区,社会増減,その他の増,女,0
201310,日本人,兵庫区,社会増減,その他の増,女,1
201310,日本人,北区,社会増減,その他の増,女,0
201310,日本人,長田区,社会増減,その他の増,女,5
201310,日本人,須磨区,社会増減,その他の増,女,0
201310,日本人,垂水区,社会増減,その他の増,女,3
201310,日本人,西区,社会増減,その他の増,女,4
201310,日本人,全市,社会増減,その他の減,合計,10
201310,日本人,東灘区,社会増減,その他の減,合計,1
201310,日本人,灘区,社会増減,その他の減,合計,0
201310,日本人,中央区,社会増減,その他の減,合計,4
201310,日本人,兵庫区,社会増減,その他の減,合計,2
201310,日本人,北区,社会増減,その他の減,合計,0
201310,日本人,長田区,社会増減,その他の減,合計,0
201310,日本人,須磨区,社会増減,その他の減,合計,1
201310,日本人,垂水区,社会増減,その他の減,合計,1
201310,日本人,西区,社会増減,その他の減,合計,1
201310,日本人,全市,社会増減,その他の減,男,5
201310,日本人,東灘区,社会増減,その他の減,男,1
201310,日本人,灘区,社会増減,その他の減,男,0
201310,日本人,中央区,社会増減,その他の減,男,2
201310,日本人,兵庫区,社会増減,その他の減,男,2
201310,日本人,北区,社会増減,その他の減,男,0
201310,日本人,長田区,社会増減,その他の減,男,0
201310,日本人,須磨区,社会増減,その他の減,男,0
201310,日本人,垂水区,社会増減,その他の減,男,0
201310,日本人,西区,社会増減,その他の減,男,0
201310,日本人,全市,社会増減,その他の減,女,5
201310,日本人,東灘区,社会増減,その他の減,女,0
201310,日本人,灘区,社会増減,その他の減,女,0
201310,日本人,中央区,社会増減,その他の減,女,2
201310,日本人,兵庫区,社会増減,その他の減,女,0
201310,日本人,北区,社会増減,その他の減,女,0
201310,日本人,長田区,社会増減,その他の減,女,0
201310,日本人,須磨区,社会増減,その他の減,女,1
201310,日本人,垂水区,社会増減,その他の減,女,1
201310,日本人,西区,社会増減,その他の減,女,1
201310,日本人,全市,社会増減,増減　①,合計,437
201310,日本人,東灘区,社会増減,増減　①,合計,282
201310,日本人,灘区,社会増減,増減　①,合計,5
201310,日本人,中央区,社会増減,増減　①,合計,13
201310,日本人,兵庫区,社会増減,増減　①,合計,-28
201310,日本人,北区,社会増減,増減　①,合計,-86
201310,日本人,長田区,社会増減,増減　①,合計,15
201310,日本人,須磨区,社会増減,増減　①,合計,260
201310,日本人,垂水区,社会増減,増減　①,合計,-2
201310,日本人,西区,社会増減,増減　①,合計,-22
201310,日本人,全市,社会増減,増減　①,男,251
201310,日本人,東灘区,社会増減,増減　①,男,108
201310,日本人,灘区,社会増減,増減　①,男,-21
201310,日本人,中央区,社会増減,増減　①,男,21
201310,日本人,兵庫区,社会増減,増減　①,男,-12
201310,日本人,北区,社会増減,増減　①,男,-24
201310,日本人,長田区,社会増減,増減　①,男,33
201310,日本人,須磨区,社会増減,増減　①,男,126
201310,日本人,垂水区,社会増減,増減　①,男,5
201310,日本人,西区,社会増減,増減　①,男,15
201310,日本人,全市,社会増減,増減　①,女,186
201310,日本人,東灘区,社会増減,増減　①,女,174
201310,日本人,灘区,社会増減,増減　①,女,26
201310,日本人,中央区,社会増減,増減　①,女,-8
201310,日本人,兵庫区,社会増減,増減　①,女,-16
201310,日本人,北区,社会増減,増減　①,女,-62
201310,日本人,長田区,社会増減,増減　①,女,-18
201310,日本人,須磨区,社会増減,増減　①,女,134
201310,日本人,垂水区,社会増減,増減　①,女,-7
201310,日本人,西区,社会増減,増減　①,女,-37
201310,日本人,全市,自然増減,出生,合計,1195
201310,日本人,東灘区,自然増減,出生,合計,185
201310,日本人,灘区,自然増減,出生,合計,110
201310,日本人,中央区,自然増減,出生,合計,121
201310,日本人,兵庫区,自然増減,出生,合計,91
201310,日本人,北区,自然増減,出生,合計,144
201310,日本人,長田区,自然増減,出生,合計,53
201310,日本人,須磨区,自然増減,出生,合計,112
201310,日本人,垂水区,自然増減,出生,合計,184
201310,日本人,西区,自然増減,出生,合計,195
201310,日本人,全市,自然増減,出生,男,594
201310,日本人,東灘区,自然増減,出生,男,96
201310,日本人,灘区,自然増減,出生,男,60
201310,日本人,中央区,自然増減,出生,男,57
201310,日本人,兵庫区,自然増減,出生,男,40
201310,日本人,北区,自然増減,出生,男,70
201310,日本人,長田区,自然増減,出生,男,28
201310,日本人,須磨区,自然増減,出生,男,52
201310,日本人,垂水区,自然増減,出生,男,94
201310,日本人,西区,自然増減,出生,男,97
201310,日本人,全市,自然増減,出生,女,601
201310,日本人,東灘区,自然増減,出生,女,89
201310,日本人,灘区,自然増減,出生,女,50
201310,日本人,中央区,自然増減,出生,女,64
201310,日本人,兵庫区,自然増減,出生,女,51
201310,日本人,北区,自然増減,出生,女,74
201310,日本人,長田区,自然増減,出生,女,25
201310,日本人,須磨区,自然増減,出生,女,60
201310,日本人,垂水区,自然増減,出生,女,90
201310,日本人,西区,自然増減,出生,女,98
201310,日本人,全市,自然増減,死亡,合計,1261
201310,日本人,東灘区,自然増減,死亡,合計,150
201310,日本人,灘区,自然増減,死亡,合計,101
201310,日本人,中央区,自然増減,死亡,合計,98
201310,日本人,兵庫区,自然増減,死亡,合計,117
201310,日本人,北区,自然増減,死亡,合計,178
201310,日本人,長田区,自然増減,死亡,合計,117
201310,日本人,須磨区,自然増減,死亡,合計,130
201310,日本人,垂水区,自然増減,死亡,合計,188
201310,日本人,西区,自然増減,死亡,合計,182
201310,日本人,全市,自然増減,死亡,男,647
201310,日本人,東灘区,自然増減,死亡,男,77
201310,日本人,灘区,自然増減,死亡,男,52
201310,日本人,中央区,自然増減,死亡,男,48
201310,日本人,兵庫区,自然増減,死亡,男,58
201310,日本人,北区,自然増減,死亡,男,89
201310,日本人,長田区,自然増減,死亡,男,64
201310,日本人,須磨区,自然増減,死亡,男,73
201310,日本人,垂水区,自然増減,死亡,男,106
201310,日本人,西区,自然増減,死亡,男,80
201310,日本人,全市,自然増減,死亡,女,614
201310,日本人,東灘区,自然増減,死亡,女,73
201310,日本人,灘区,自然増減,死亡,女,49
201310,日本人,中央区,自然増減,死亡,女,50
201310,日本人,兵庫区,自然増減,死亡,女,59
201310,日本人,北区,自然増減,死亡,女,89
201310,日本人,長田区,自然増減,死亡,女,53
201310,日本人,須磨区,自然増減,死亡,女,57
201310,日本人,垂水区,自然増減,死亡,女,82
201310,日本人,西区,自然増減,死亡,女,102
201310,日本人,全市,自然増減,増減　②,合計,-66
201310,日本人,東灘区,自然増減,増減　②,合計,35
201310,日本人,灘区,自然増減,増減　②,合計,9
201310,日本人,中央区,自然増減,増減　②,合計,23
201310,日本人,兵庫区,自然増減,増減　②,合計,-26
201310,日本人,北区,自然増減,増減　②,合計,-34
201310,日本人,長田区,自然増減,増減　②,合計,-64
201310,日本人,須磨区,自然増減,増減　②,合計,-18
201310,日本人,垂水区,自然増減,増減　②,合計,-4
201310,日本人,西区,自然増減,増減　②,合計,13
201310,日本人,全市,自然増減,増減　②,男,-53
201310,日本人,東灘区,自然増減,増減　②,男,19
201310,日本人,灘区,自然増減,増減　②,男,8
201310,日本人,中央区,自然増減,増減　②,男,9
201310,日本人,兵庫区,自然増減,増減　②,男,-18
201310,日本人,北区,自然増減,増減　②,男,-19
201310,日本人,長田区,自然増減,増減　②,男,-36
201310,日本人,須磨区,自然増減,増減　②,男,-21
201310,日本人,垂水区,自然増減,増減　②,男,-12
201310,日本人,西区,自然増減,増減　②,男,17
201310,日本人,全市,自然増減,増減　②,女,-13
201310,日本人,東灘区,自然増減,増減　②,女,16
201310,日本人,灘区,自然増減,増減　②,女,1
201310,日本人,中央区,自然増減,増減　②,女,14
201310,日本人,兵庫区,自然増減,増減　②,女,-8
201310,日本人,北区,自然増減,増減　②,女,-15
201310,日本人,長田区,自然増減,増減　②,女,-28
201310,日本人,須磨区,自然増減,増減　②,女,3
201310,日本人,垂水区,自然増減,増減　②,女,8
201310,日本人,西区,自然増減,増減　②,女,-4
201310,日本人,全市,人口増減,増減　③（①＋②）,合計,371
201310,日本人,東灘区,人口増減,増減　③（①＋②）,合計,317
201310,日本人,灘区,人口増減,増減　③（①＋②）,合計,14
201310,日本人,中央区,人口増減,増減　③（①＋②）,合計,36
201310,日本人,兵庫区,人口増減,増減　③（①＋②）,合計,-54
201310,日本人,北区,人口増減,増減　③（①＋②）,合計,-120
201310,日本人,長田区,人口増減,増減　③（①＋②）,合計,-49
201310,日本人,須磨区,人口増減,増減　③（①＋②）,合計,242
201310,日本人,垂水区,人口増減,増減　③（①＋②）,合計,-6
201310,日本人,西区,人口増減,増減　③（①＋②）,合計,-9
201310,日本人,全市,人口増減,増減　③（①＋②）,男,198
201310,日本人,東灘区,人口増減,増減　③（①＋②）,男,127
201310,日本人,灘区,人口増減,増減　③（①＋②）,男,-13
201310,日本人,中央区,人口増減,増減　③（①＋②）,男,30
201310,日本人,兵庫区,人口増減,増減　③（①＋②）,男,-30
201310,日本人,北区,人口増減,増減　③（①＋②）,男,-43
201310,日本人,長田区,人口増減,増減　③（①＋②）,男,-3
201310,日本人,須磨区,人口増減,増減　③（①＋②）,男,105
201310,日本人,垂水区,人口増減,増減　③（①＋②）,男,-7
201310,日本人,西区,人口増減,増減　③（①＋②）,男,32
201310,日本人,全市,人口増減,増減　③（①＋②）,女,173
201310,日本人,東灘区,人口増減,増減　③（①＋②）,女,190
201310,日本人,灘区,人口増減,増減　③（①＋②）,女,27
201310,日本人,中央区,人口増減,増減　③（①＋②）,女,6
201310,日本人,兵庫区,人口増減,増減　③（①＋②）,女,-24
201310,日本人,北区,人口増減,増減　③（①＋②）,女,-77
201310,日本人,長田区,人口増減,増減　③（①＋②）,女,-46
201310,日本人,須磨区,人口増減,増減　③（①＋②）,女,137
201310,日本人,垂水区,人口増減,増減　③（①＋②）,女,1
201310,日本人,西区,人口増減,増減　③（①＋②）,女,-41
201310,外国人,全市,社会増減,転入,合計,989
201310,外国人,東灘区,社会増減,転入,合計,127
201310,外国人,灘区,社会増減,転入,合計,239
201310,外国人,中央区,社会増減,転入,合計,268
201310,外国人,兵庫区,社会増減,転入,合計,138
201310,外国人,北区,社会増減,転入,合計,28
201310,外国人,長田区,社会増減,転入,合計,97
201310,外国人,須磨区,社会増減,転入,合計,18
201310,外国人,垂水区,社会増減,転入,合計,34
201310,外国人,西区,社会増減,転入,合計,40
201310,外国人,全市,社会増減,転入,男,516
201310,外国人,東灘区,社会増減,転入,男,61
