施設名,住所,電話番号,施設・バリアフリー情報URL,経度,緯度,分類
三宮ビル東館,神戸市中央区御幸通り6-1-12,078-331-8181（代）,ー,135.197709,34.69309604,支所
三宮プラザEAST,神戸市中央区磯上通7-1-5,078-331-8181（代）,ー,135.1974113,34.69180148,支所
三宮国際ビル,神戸市中央区浜辺通2-1-30,078-331-8181（代）,ー,135.201403,34.69173804,支所
新クレセントビル,神戸市中央区京町72,078-331-8181（代）,ー,135.193254,34.68987904,支所
コンコルディア神戸,神戸市中央区磯辺通3-1-7,078-331-8181（代）,ー,135.198858,34.68899704,支所
神戸商工貿易センタービル,神戸市中央区浜辺通5-1-14,078-331-8181（代）,ー,135.199713,34.68823904,支所
御崎Uビル,神戸市兵庫区御崎町1-2-1,078-331-8181（代）,ー,135.1708378,34.65553958,支所
ハーバーランドセンタービル,神戸市中央区東川崎町1-3-3,078-331-8181（代）,ー,135.1803573,34.67865245,支所
ポートアイランドビル,神戸市中央区港島中町4-1-1,078-331-8181（代）,ー,135.2074292,34.67266688,支所
市役所1号館,神戸市中央区加納町6-5-1,078-331-8181（代）,https://www.city.kobe.lg.jp/a28956/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-01.html,135.195747,34.68943404,市役所
市役所4号館（危機管理センター）,神戸市中央区江戸町97,078-331-8181（代）,https://www.city.kobe.lg.jp/a28956/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01109.html,135.1945948,34.68980559,市役所
東灘区役所,神戸市東灘区住吉東町5-2-1,078-841-4131（代）,https://www.city.kobe.lg.jp/b63860/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-05.html,135.2655397,34.72012659,区役所
灘区役所,神戸市灘区桜口町4-2-1,078-843-7001（代）,https://www.city.kobe.lg.jp/c33566/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-06.html,135.2398165,34.71237941,区役所
