place,市区町村,町目番地,経度,緯度
神戸三宮高架商店街（ピアザKOBE２-3）,神戸市中央区,北長狭通,135.190689,34.691513
神戸三宮高架商店街（ピアザKOBE２-4）,神戸市中央区,北長狭通,135.190978,34.691686
神戸三宮高架商店街（ピアザKOBE２-5）,神戸市中央区,北長狭通,135.191229,34.691836
神戸三宮高架商店街（ピアザKOBE２-6）,神戸市中央区,北長狭通,135.191399,34.691937
神戸三宮高架商店街（ピアザKOBE３-1）,神戸市中央区,北長狭通,135.18892,34.690443
神戸三宮高架商店街（ピアザKOBE３-2）,神戸市中央区,北長狭通,135.189245,34.690639
神戸三宮高架商店街（ピアザKOBE３-3）,神戸市中央区,北長狭通,135.18951,34.690805
神戸三宮高架商店街（ピアザKOBE３-4）,神戸市中央区,北長狭通,135.189849,34.691014
エネオスドクタードライブ（グリーンヒル学園店）,神戸市垂水区,多聞町小束山868,135.0599985,34.671078
ナダシンの餅,神戸市灘区,下河原通3-1-8,135.233019,34.709856
寿楼　臨水亭,神戸市須磨区,須磨寺町3-5-18,135.113683,34.65015
神戸ステーキプロベラ,神戸市中央区,磯上通8-1-14,135.196167,34.691269
灘浜福鶴蔵,神戸市東灘区,魚崎南町4-4-6,135.272974,34.709621
料亭旅館豊福,神戸市中央区,花隈町23-18,135.180782,34.687691
元町商店街_国際楽器株式会社,神戸市中央区,元町通１丁目４?１８,135.1894815,34.688745
元町商店街_カメラのナニワ,神戸市中央区,元町通１丁目４－１８,135.1894815,34.688745
元町商店街_元町時計,神戸市中央区,元町通１丁目８?５,135.1885995,34.688853
元町商店街_クロールバリエ,神戸市中央区,元町通２丁目１?９,135.187812,34.688484
元町商店街_マサニ電気,神戸市中央区,元町通１丁目１０?２,135.1884105,34.688808
元町商店街_トゥインクル,神戸市中央区,元町通２丁目７?１,135.1872585,34.688547
元町商店街_カメラのカツミ堂,神戸市中央区,元町通２丁目５?１０,135.1868175,34.688214
元町商店街_奈良山,神戸市中央区,元町通３丁目２－１０,135.1861785,34.687962
元町商店街_シューファンタジー 神戸元町店,神戸市中央区,元町通３丁目４－１０,135.185841,34.687818
元町商店街_コウベサコム,神戸市中央区,元町通３丁目１０－２,135.1852965,34.687809
元町商店街_アダム洋品店(EVE),神戸市中央区,元町通３丁目１０?４,135.1851525,34.687719
元町商店街_夢おり本舗元町店,神戸市中央区,元町通３丁目１１?２,135.1846935,34.687422
元町商店街_armoire(アルムワール),神戸市中央区,元町通３丁目１１?３,135.1846035,34.687341
元町商店街_メゾンド・マルシェ,神戸市中央区,元町通４丁目２－２１,135.183555,34.686342
元町商店街_こうべまちづくり会館,神戸市中央区,元町通４丁目２－１４,135.182925,34.686117
元町商店街_神戸牛ステーキ　ヘンリー亭,神戸市中央区,元町通５丁目３?１６,135.182691,34.686009
元町商店街_菓子工房　パオ・デ・ロ,神戸市中央区,元町通５丁目６?４,135.181215,34.684749
元町商店街_はた珈琲店,神戸市中央区,元町通５丁目７?１２,135.181629,34.68555
元町商店街_手焼きあられ　吾妻屋,神戸市中央区,元町通５丁目８?７,135.1810305,34.68501
元町商店街_ぽかぽっぽモトロク,神戸市中央区,元町通６丁目３－１９,135.180756,34.684371
元町商店街_亀井堂総本店,神戸市中央区,元町通６丁目３?１７,135.1806705,34.684191
元町商店街_COFFEE Norari&Kurari,神戸市中央区,元町通６丁目５?１５,135.180279,34.683885
元町商店街_STUDIO KIICHI,神戸市中央区,元町通６丁目７?３,135.179892,34.683741
元町商店街_靴のコウベマリ,神戸市中央区,元町通６丁目７?９,135.1797705,34.683453
三宮センター街２丁目商店街（１）,神戸市中央区,三宮町2丁目,135.190497,34.690661
三宮センター街２丁目商店街（２）,神戸市中央区,三宮町2丁目,135.190733,34.690759
三宮センター街２丁目商店街（３）,神戸市中央区,三宮町2丁目,135.190951,34.690846
三宮センター街２丁目商店街（４）,神戸市中央区,三宮町2丁目,135.191135,34.690924
三宮センター街２丁目商店街（５）,神戸市中央区,三宮町2丁目,135.191387,34.69103
三宮センター街２丁目商店街（６）,神戸市中央区,三宮町2丁目,135.19168,34.691149
六甲山牧場,神戸市灘区,六甲山町中一里山1?１,135.209002,34.751508
三宮センター街3丁目商店街（１）,神戸市中央区,三宮町3丁目,135.189324,34.689759
三宮センター街3丁目商店街（２）,神戸市中央区,三宮町3丁目,135.18951,34.689875
三宮センター街3丁目商店街（３）,神戸市中央区,三宮町3丁目,135.189807,34.690067
三宮センター街3丁目商店街（４）,神戸市中央区,三宮町3丁目,135.190003,34.690199
三宮センター街3丁目商店街（５）,神戸市中央区,三宮町3丁目,135.190149,34.690323
三宮センター街3丁目商店街（６）,神戸市中央区,三宮町3丁目,135.190297,34.690425
株式会社古泉閣,神戸市北区,有馬町1455-1,135.25051,34.799711
須磨離宮公園,神戸市須磨区,東須磨１?１,135.116242,34.653484
長田神社,神戸市長田区,長田町3-1-1,135.146871,34.671429
生田神社,神戸市中央区,下山手通1-2-1,135.190706,34.694796
高嶋酒類食品株式会社,神戸市東灘区,御影塚町3-9-16,135.245071,34.70982
ジャンボフェリー株式会社,神戸市中央区,新港町3-7,135.19896,34.68257
株式会社神戸フェリーセンター,神戸市中央区,新港町3-7,135.19896,34.68257
サンサイドホテル,神戸市中央区,雲井通4-1-3,135.198836,34.695419
森林植物園,神戸市北区,山田町上谷上長尾1?2,135.116242,34.653484
有馬玩具博物館,神戸市北区,有馬町797,135.247882,34.797052
神戸アンパンマンこどもミュジーアム＆モール,神戸市中央区,東川崎町1-6-2,135.184763,34.678456
エネオスドクタードライブ（将軍通店）,神戸市灘区,将軍通4-1-5,135.228501,34.714395
グリコピア,神戸市西区,高塚台7-1,135.021108,34.737503
神戸市総合運動公園,神戸市須磨区,緑台,135.080528,34.682349
